LAA,Angel Stadium of Anaheim,"Anaheim, CA",33.799925,-117.883194
SF,AT&T Park,"San Francisco, CA",37.778473,-122.389595
COL,Coors Field,"Denver, CO",39.755891,-104.994198
STL,Busch Stadium,"St. Louis, MO",38.622317,-90.193891
ARI,Chase Field,"Phoenix, AZ",33.445526,-112.066721
LAD,Dodger Stadium,"Los Angeles, CA",34.072724,-118.240646
NYM,Citi Field,"New York, NY",40.756337,-73.846043
PHI,Citizens Bank Park,"Philadelphia, PA",39.905547,-75.166589
DET,Comerica Park,"Detroit, MI",42.339227,-83.049506
BOS,Fenway Park,"Boston, MA",42.346619,-71.096961
TEX,Globe Life Park in Arlington,"Arlington, TX",32.751147,-97.082454
CIN,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
KC,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
MIA,Marlins Park,"Miami, FL",25.778655,-80.220305
MIL,Miller Park,"Milwaukee, WI",43.027982,-87.971165
HOU,Minute Maid Park,"Houston, TX",29.756965,-95.354824
WSH,Nationals Park,"Washington, DC",38.87301,-77.007457
OAK,O.co Coliseum,"Oakland, CA",37.751605,-122.200523
BAL,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
SD,Petco Park,"San Diego, CA",32.70771,-117.157097
PIT,PNC Park,"Pittsburgh, PA",40.447307,-80.006841
CLE,Progressive Field,"Cleveland, OH",41.496192,-81.685238
TOR,Rogers Centre,"Toronto, ON",43.641111,-79.389675
SEA,Safeco Field,"Seattle, WA",47.591358,-122.332283
MIN,Target Field,"Minneapolis, MN",44.981713,-93.277347
TB,Tropicana Field,"St. Petersburg, FL",27.76816,-82.653465
ATL,Turner Field,"Atlanta, GA",33.734805,-84.389996
CHC,U.S. Cellular Field,"Chicago, IL",41.829908,-87.63354
CWS,Wrigley Field,"Chicago, IL",41.947856,-87.655887
NYY,Yankee Stadium,"Bronx, NY",40.829327,-73.927735
