,date,home_team,away_team,away_pitcher,home_pitcher,away_line,home_line
0,2007-04-01,STL,NYM,T.Glavine,C.Carpenter,125.0,-145.0
1,2007-04-02,CIN,CHC,C.Zambrano,A.Harang,-115.0,-105.0
2,2007-04-02,COL,ARI,B.Webb,A.Cook,-120.0,100.0
3,2007-04-02,CWS,CLE,C.Sabathia,N.Masset,110.0,-130.0
4,2007-04-02,DET,TOR,R.Halladay,J.Bonderman,-115.0,-105.0
5,2007-04-02,HOU,PIT,Z.Duke,R.Oswalt,180.0,-210.0
6,2007-04-02,KC,BOS,C.Schilling,G.Meche,-175.0,155.0
7,2007-04-02,LAA,TEX,K.Millwood,J.Lackey,120.0,-140.0
8,2007-04-02,MIL,LAD,D.Lowe,B.Sheets,-115.0,-105.0
9,2007-04-02,MIN,BAL,E.Bedard,J.Santana,190.0,-230.0
10,2007-04-02,NYY,TB,S.Kazmir,C.Pavano,155.0,-175.0
11,2007-04-02,PHI,ATL,J.Smoltz,B.Myers,-105.0,-115.0
12,2007-04-02,SEA,OAK,D.Haren,F.Hernandez,-105.0,-115.0
13,2007-04-02,WSH,MIA,D.Willis,J.Patterson,-135.0,115.0
14,2007-04-03,COL,ARI,L.Hernandez,J.Francis,115.0,-135.0
15,2007-04-03,HOU,PIT,I.Snell,J.Jennings,160.0,-180.0
16,2007-04-03,LAA,TEX,V.Padilla,K.Escobar,140.0,-160.0
17,2007-04-03,MIN,BAL,D.Cabrera,B.Bonser,120.0,-140.0
18,2007-04-03,SEA,OAK,J.Blanton,J.Washburn,105.0,-125.0
19,2007-04-03,SF,SD,J.Peavy,B.Zito,100.0,-120.0
20,2007-04-03,STL,NYM,O.Hernandez,K.Wells,-110.0,-110.0
21,2007-04-03,WSH,MIA,S.Olsen,S.Hill,-140.0,120.0
22,2007-04-04,CIN,CHC,T.Lilly,B.Arroyo,110.0,-130.0
23,2007-04-04,COL,ARI,D.Davis,R.Lopez,-105.0,-115.0
24,2007-04-04,CWS,CLE,J.Westbrook,J.Garland,-105.0,-115.0
25,2007-04-04,DET,TOR,S.Marcum,N.Robertson,-110.0,-110.0
26,2007-04-04,HOU,PIT,T.Gorzelanny,W.Williams,150.0,-170.0
